[b'200860', b'5', b'0', b'0', b'0', b'0'] 1
[b'301332', b'0', b'0', b'0', b'0', b'0'] 2
[b'401804', b'0', b'0', b'0', b'0', b'0'] 3
[b'502276', b'0', b'0', b'0', b'156', b'0'] 4
[b'602748', b'0', b'0', b'0', b'42', b'0'] 5
[b'703224', b'0', b'0', b'0', b'0', b'12'] 6
[b'803696', b'0', b'0', b'0', b'152', b'0'] 7
[b'904168', b'0', b'0', b'0', b'0', b'0'] 8
[b'1004636', b'0', b'0', b'0', b'0', b'0'] 9
[b'1105152', b'0', b'0', b'0', b'100', b'0'] 10
[b'1205664', b'0', b'0', b'0', b'181', b'10'] 11
[b'1306176', b'0', b'330', b'0', b'124', b'0'] 12
[b'1406692', b'0', b'210', b'0', b'0', b'0'] 13
[b'1507220', b'0', b'0', b'0', b'21', b'0'] 14
[b'1607732', b'0', b'19', b'25', b'0', b'150'] 15
[b'1708248', b'0', b'0', b'105', b'0', b'0'] 16
[b'1808760', b'0', b'182', b'125', b'0', b'112'] 17
[b'1909272', b'0', b'4', b'70', b'0', b'0'] 18
[b'2009792', b'0', b'0', b'47', b'0', b'0'] 19
[b'2110308', b'0', b'41', b'45', b'0', b'23'] 20
[b'2210832', b'0', b'153', b'14', b'0', b'90'] 21
[b'2311348', b'0', b'70', b'0', b'0', b'7'] 22
[b'2411856', b'5', b'0', b'0', b'0', b'0'] 23
[b'2512368', b'14', b'14', b'0', b'0', b'0'] 24
[b'2612928', b'23', b'0', b'0', b'0', b'30'] 25
[b'2713488', b'31', b'26', b'0', b'0', b'112'] 26
[b'2814052', b'41', b'0', b'21', b'0', b'105'] 27
[b'2914612', b'49', b'80', b'0', b'0', b'254'] 28
[b'3015172', b'54', b'25', b'0', b'0', b'0'] 29
[b'3115740', b'57', b'43', b'0', b'8', b'31'] 30
[b'3216308', b'59', b'14', b'0', b'16', b'26'] 31
[b'3316872', b'62', b'0', b'0', b'31', b'0'] 32
[b'3417428', b'57', b'0', b'0', b'32', b'7'] 33
[b'3517988', b'51', b'0', b'0', b'38', b'102'] 34
[b'3618556', b'49', b'0', b'0', b'46', b'14'] 35
[b'3719128', b'38', b'0', b'0', b'52', b'0'] 36
[b'3819684', b'17', b'0', b'0', b'47', b'0'] 37
[b'3920244', b'3', b'46', b'0', b'49', b'0'] 38
[b'4020760', b'16', b'0', b'0', b'46', b'0'] 39
[b'4121320', b'0', b'13', b'40', b'22', b'0'] 40
[b'4221836', b'0', b'0', b'0', b'30', b'0'] 41
[b'4322360', b'0', b'0', b'0', b'1', b'0'] 42
[b'4422872', b'0', b'0', b'23', b'28', b'0'] 43
[b'4523384', b'0', b'0', b'0', b'0', b'0'] 44
[b'4623896', b'0', b'0', b'0', b'0', b'9'] 45
[b'4724416', b'0', b'0', b'0', b'0', b'5'] 46
[b'4824936', b'0', b'0', b'156', b'0', b'0'] 47
[b'4925456', b'0', b'0', b'42', b'0', b'0'] 48
[b'5025968', b'0', b'0', b'0', b'12', b'0'] 49
[b'5126480', b'0', b'0', b'152', b'0', b'0'] 50
[b'5226992', b'0', b'0', b'0', b'0', b'0'] 51
[b'5327508', b'0', b'0', b'0', b'0', b'0'] 52
[b'5428020', b'0', b'0', b'100', b'0', b'0'] 53
[b'5528540', b'0', b'0', b'181', b'10', b'0'] 54
[b'5629056', b'330', b'0', b'124', b'0', b'0'] 55
[b'5729656', b'210', b'0', b'0', b'0', b'0'] 56
[b'5830256', b'0', b'0', b'21', b'0', b'0'] 57
[b'5930780', b'19', b'25', b'0', b'150', b'0'] 58
[b'6031340', b'0', b'105', b'0', b'0', b'0'] 59
[b'6131856', b'182', b'125', b'0', b'112', b'0'] 60
[b'6232460', b'4', b'70', b'0', b'0', b'0'] 61
[b'6332968', b'0', b'47', b'0', b'0', b'0'] 62
[b'6433492', b'41', b'45', b'0', b'23', b'0'] 63
[b'6534048', b'153', b'14', b'0', b'90', b'0'] 64
[b'6634648', b'70', b'0', b'0', b'7', b'0'] 65
[b'6735204', b'0', b'0', b'0', b'0', b'0'] 66
[b'6835720', b'14', b'0', b'0', b'0', b'0'] 67
[b'6936288', b'0', b'0', b'0', b'30', b'5'] 68
[b'7036808', b'26', b'0', b'0', b'112', b'14'] 69
[b'7137372', b'0', b'21', b'0', b'105', b'23'] 70
[b'7237888', b'80', b'0', b'0', b'254', b'31'] 71
[b'7338444', b'25', b'0', b'0', b'0', b'41'] 72
[b'7439004', b'43', b'0', b'8', b'31', b'49'] 73
[b'7539572', b'14', b'0', b'16', b'26', b'54'] 74
[b'7640140', b'0', b'0', b'31', b'0', b'57'] 75
[b'7740656', b'0', b'0', b'32', b'7', b'59'] 76
[b'7841168', b'0', b'0', b'38', b'102', b'62'] 77
[b'7941680', b'0', b'0', b'46', b'14', b'57'] 78
[b'8042200', b'0', b'0', b'52', b'0', b'51'] 79
[b'8142720', b'0', b'0', b'47', b'0', b'49'] 80
[b'8243240', b'46', b'0', b'49', b'0', b'38'] 81
[b'8343796', b'0', b'0', b'46', b'0', b'17'] 82
[b'8444312', b'13', b'40', b'22', b'0', b'3'] 83
[b'8544868', b'0', b'0', b'30', b'0', b'16'] 84
[b'8645388', b'0', b'0', b'1', b'0', b'0'] 85
[b'8745912', b'0', b'23', b'28', b'0', b'0'] 86
[b'8846424', b'0', b'0', b'0', b'0', b'0'] 87
[b'8946936', b'0', b'0', b'0', b'9', b'0'] 88
[b'9047452', b'0', b'0', b'0', b'5', b'0'] 89
[b'9147968', b'0', b'156', b'0', b'0', b'0'] 90
[b'9248488', b'0', b'42', b'0', b'0', b'0'] 91
[b'9349004', b'0', b'0', b'12', b'0', b'0'] 92
[b'9449528', b'0', b'152', b'0', b'0', b'0'] 93
[b'9550040', b'0', b'0', b'0', b'0', b'0'] 94
[b'9650552', b'0', b'0', b'0', b'0', b'0'] 95
[b'9751064', b'0', b'100', b'0', b'0', b'0'] 96
[b'9851588', b'0', b'181', b'10', b'0', b'0'] 97
[b'9952108', b'0', b'124', b'0', b'0', b'0'] 98
[b'10052624', b'0', b'0', b'0', b'0', b'0'] 99
[b'10153180', b'0', b'21', b'0', b'0', b'330'] 100
[b'10253744', b'25', b'0', b'150', b'0', b'210'] 101
[b'10354348', b'105', b'0', b'0', b'0', b'0'] 102
[b'10455004', b'125', b'0', b'112', b'0', b'19'] 103
[b'10555652', b'70', b'0', b'0', b'0', b'0'] 104
[b'10656256', b'47', b'0', b'0', b'0', b'182'] 105
[b'10756860', b'45', b'0', b'23', b'0', b'4'] 106
[b'10857468', b'14', b'0', b'90', b'0', b'0'] 107
[b'10958072', b'0', b'0', b'7', b'0', b'41'] 108
[b'11058628', b'0', b'0', b'0', b'0', b'153'] 109
[b'11159188', b'0', b'0', b'0', b'0', b'70'] 110
[b'11259756', b'0', b'0', b'30', b'5', b'0'] 111
[b'11360324', b'0', b'0', b'112', b'14', b'14'] 112
[b'11460884', b'21', b'0', b'105', b'23', b'0'] 113
[b'11561492', b'0', b'0', b'254', b'31', b'26'] 114
[b'11662052', b'0', b'0', b'0', b'41', b'0'] 115
[b'11762620', b'0', b'8', b'31', b'49', b'80'] 116
[b'11863180', b'0', b'16', b'26', b'54', b'25'] 117
[b'11963740', b'0', b'31', b'0', b'57', b'43'] 118
[b'12064300', b'0', b'32', b'7', b'59', b'14'] 119
[b'12164868', b'0', b'38', b'102', b'62', b'0'] 120
[b'12265436', b'0', b'46', b'14', b'57', b'0'] 121
[b'12366000', b'0', b'52', b'0', b'51', b'0'] 122
[b'12466556', b'0', b'47', b'0', b'49', b'0'] 123
[b'12567116', b'0', b'49', b'0', b'38', b'0'] 124
[b'12667684', b'0', b'46', b'0', b'17', b'0'] 125
[b'12768252', b'40', b'22', b'0', b'3', b'46'] 126
[b'12868856', b'0', b'30', b'0', b'16', b'0'] 127
[b'12969412', b'0', b'1', b'0', b'0', b'13'] 128
[b'13069972', b'23', b'28', b'0', b'0', b'0'] 129
[b'13170584', b'0', b'0', b'0', b'0', b'0'] 130
[b'13271140', b'0', b'0', b'9', b'0', b'0'] 131
[b'13371700', b'0', b'0', b'5', b'0', b'0'] 132
[b'13472260', b'156', b'0', b'0', b'0', b'0'] 133
[b'13572916', b'42', b'0', b'0', b'0', b'0'] 134
[b'13673528', b'0', b'12', b'0', b'0', b'0'] 135
[b'13774084', b'152', b'0', b'0', b'0', b'0'] 136
[b'13874732', b'0', b'0', b'0', b'0', b'0'] 137
[b'13975300', b'0', b'0', b'0', b'0', b'0'] 138
[b'14075868', b'100', b'0', b'0', b'0', b'0'] 139
[b'14176520', b'181', b'10', b'0', b'0', b'0'] 140
[b'14277168', b'124', b'0', b'0', b'0', b'0'] 141
[b'14377820', b'0', b'0', b'0', b'0', b'0'] 142
[b'14478388', b'21', b'0', b'0', b'330', b'0'] 143
[b'14578992', b'0', b'150', b'0', b'210', b'0'] 144
[b'14679552', b'0', b'0', b'0', b'0', b'0'] 145
[b'14780116', b'0', b'112', b'0', b'19', b'25'] 146
[b'14880684', b'0', b'0', b'0', b'0', b'105'] 147
