[b'200860', b'5', b'0', b'0', b'0', b'0']
[b'301332', b'0', b'0', b'0', b'0', b'0']
[b'401804', b'0', b'0', b'0', b'0', b'0']
[b'502276', b'0', b'0', b'0', b'156', b'0']
[b'602748', b'0', b'0', b'0', b'42', b'0']
[b'703224', b'0', b'0', b'0', b'0', b'12']
[b'803696', b'0', b'0', b'0', b'152', b'0']
[b'904168', b'0', b'0', b'0', b'0', b'0']
[b'1004636', b'0', b'0', b'0', b'0', b'0']
[b'1105152', b'0', b'0', b'0', b'100', b'0']
[b'1205664', b'0', b'0', b'0', b'181', b'10']
[b'1306176', b'0', b'330', b'0', b'124', b'0']
[b'1406692', b'0', b'210', b'0', b'0', b'0']
[b'1507220', b'0', b'0', b'0', b'21', b'0']
[b'1607732', b'0', b'19', b'25', b'0', b'150']
[b'1708248', b'0', b'0', b'105', b'0', b'0']
[b'1808760', b'0', b'182', b'125', b'0', b'112']
[b'1909272', b'0', b'4', b'70', b'0', b'0']
[b'2009792', b'0', b'0', b'47', b'0', b'0']
[b'2110308', b'0', b'41', b'45', b'0', b'23']
[b'2210832', b'0', b'153', b'14', b'0', b'90']
[b'2311348', b'0', b'70', b'0', b'0', b'7']
[b'2411856', b'5', b'0', b'0', b'0', b'0']
[b'2512368', b'14', b'14', b'0', b'0', b'0']
[b'2612928', b'23', b'0', b'0', b'0', b'30']
[b'2713488', b'31', b'26', b'0', b'0', b'112']
[b'2814052', b'41', b'0', b'21', b'0', b'105']
[b'2914612', b'49', b'80', b'0', b'0', b'254']
[b'3015172', b'54', b'25', b'0', b'0', b'0']
[b'3115740', b'57', b'43', b'0', b'8', b'31']
[b'3216308', b'59', b'14', b'0', b'16', b'26']
[b'3316872', b'62', b'0', b'0', b'31', b'0']
[b'3417428', b'57', b'0', b'0', b'32', b'7']
[b'3517988', b'51', b'0', b'0', b'38', b'102']
[b'3618556', b'49', b'0', b'0', b'46', b'14']
[b'3719128', b'38', b'0', b'0', b'52', b'0']
[b'3819684', b'17', b'0', b'0', b'47', b'0']
[b'3920244', b'3', b'46', b'0', b'49', b'0']
[b'4020760', b'16', b'0', b'0', b'46', b'0']
[b'4121320', b'0', b'13', b'40', b'22', b'0']
[b'4221836', b'0', b'0', b'0', b'30', b'0']
[b'4322360', b'0', b'0', b'0', b'1', b'0']
[b'4422872', b'0', b'0', b'23', b'28', b'0']
[b'4523384', b'0', b'0', b'0', b'0', b'0']
[b'4623896', b'0', b'0', b'0', b'0', b'9']
[b'4724416', b'0', b'0', b'0', b'0', b'5']
[b'4824936', b'0', b'0', b'156', b'0', b'0']
[b'4925456', b'0', b'0', b'42', b'0', b'0']
[b'5025968', b'0', b'0', b'0', b'12', b'0']
[b'5126480', b'0', b'0', b'152', b'0', b'0']
[b'5226992', b'0', b'0', b'0', b'0', b'0']
[b'5327508', b'0', b'0', b'0', b'0', b'0']
[b'5428020', b'0', b'0', b'100', b'0', b'0']
[b'5528540', b'0', b'0', b'181', b'10', b'0']
[b'5629056', b'330', b'0', b'124', b'0', b'0']
[b'5729656', b'210', b'0', b'0', b'0', b'0']
[b'5830256', b'0', b'0', b'21', b'0', b'0']
[b'5930780', b'19', b'25', b'0', b'150', b'0']
[b'6031340', b'0', b'105', b'0', b'0', b'0']
[b'6131856', b'182', b'125', b'0', b'112', b'0']
[b'6232460', b'4', b'70', b'0', b'0', b'0']
[b'6332968', b'0', b'47', b'0', b'0', b'0']
